domaine,chemin_relatif,format,nb_lignes,nb_colonnes,nb_valeurs_vides,ratio_valeurs_vides,colonnes,statut_analyse,message
population,data_raw/population/pdi/situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,xlsx,313,1024,317458,0.990471, |  | ENREGISTREMENT DES PERSONNES DEPLACEES INTERNES |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,Feuille analysee: 31122022
population,data_raw/population/vulnerabilite_menages/Dépenses moyennes par région en 2009 et 2018.csv,csv,107,6,0,0.0,indicateur | region | rubrique | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Evolution des indices de pauvreté.csv,csv,28,5,0,0.0,indicateur | rubrique | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,csv,84,6,0,0.0,indicateur | rubrique | milieu | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,csv,378,6,0,0.0,indicateur | rubrique | region | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Pourcentage des ménages disposant de certains biens par région en 2018.csv,csv,392,6,0,0.0,indicateur | rubriques | région | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Quelques indicateurs sur les conditions de vie des ménages.csv,csv,54,6,0,0.0,indicateur | rubrique | localites | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Revenu des emplois des ménages par région en 2018.csv,csv,104,6,0,0.0,indicateur | libelle | rubrique | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Répartition des ménages par région selon la nature des murs du logement en 2018.csv,csv,98,6,0,0.0,indicateur | region | rubrique | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Répartition des ménages par région selon le mode d'approvisionnement en eau en 2018.csv,csv,154,6,0,0.0,indicateur | region | rubrique | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Répartition des ménages par région selon le mode d'énergie pour la cuisine en 2018.csv,csv,112,6,0,0.0,indicateur | région | rubrique | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/Répartition des ménages selon le lieu d'aisance par région en 2018.csv,csv,140,6,0,0.0,indicateur | rubrique | région | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/vulnerabilite_menages/conditions_de_vie_des_menages_afristat.csv,csv,330,5,11,0.006667,indicateurs | pays | Unit | Date | Value,OK,"Delimiteur detecte: ,"
