indicateur,branche_d_activit,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,branche,trimestre,domaine_d_activit_s,sexe
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2018 T1,1517.6,1517.6,2018 T1,2018 T1,trimestrielle,2018,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2018 T2,1926.5,1926.5,2018 T2,2018 T2,trimestrielle,2018,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2018 T3,1772.6,1772.6,2018 T3,2018 T3,trimestrielle,2018,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2018 T4,2069.9,2069.9,2018 T4,2018 T4,trimestrielle,2018,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2019 T1,1772.3,1772.3,2019 T1,2019 T1,trimestrielle,2019,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2019 T2,1698.0,1698.0,2019 T2,2019 T2,trimestrielle,2019,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2019 T3,1521.7,1521.7,2019 T3,2019 T3,trimestrielle,2019,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2019 T4,1653.832331,1653.832331,2019 T4,2019 T4,trimestrielle,2019,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2020 T1,1733.1,1733.1,2020 T1,2020 T1,trimestrielle,2020,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2020 T2,1856.5,1856.5,2020 T2,2020 T2,trimestrielle,2020,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2020 T3,2116.0,2116.0,2020 T3,2020 T3,trimestrielle,2020,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2020 T4,2566.0,2566.0,2020 T4,2020 T4,trimestrielle,2020,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2007 T1,114.8,114.8,2007 T1,2007 T1,trimestrielle,2007,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2007 T2,99.7,99.7,2007 T2,2007 T2,trimestrielle,2007,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2007 T3,94.3,94.3,2007 T3,2007 T3,trimestrielle,2007,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2007 T4,91.2,91.2,2007 T4,2007 T4,trimestrielle,2007,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2008 T1,110.1,110.1,2008 T1,2008 T1,trimestrielle,2008,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2008 T2,95.8,95.8,2008 T2,2008 T2,trimestrielle,2008,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2008 T3,85.8,85.8,2008 T3,2008 T3,trimestrielle,2008,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2008 T4,101.9,101.9,2008 T4,2008 T4,trimestrielle,2008,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2009 T1,103.4,103.4,2009 T1,2009 T1,trimestrielle,2009,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2009 T2,86.1,86.1,2009 T2,2009 T2,trimestrielle,2009,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2009 T3,74.2,74.2,2009 T3,2009 T3,trimestrielle,2009,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2009 T4,106.6,106.6,2009 T4,2009 T4,trimestrielle,2009,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2010 T1,97.1,97.1,2010 T1,2010 T1,trimestrielle,2010,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2010 T2,110.6,110.6,2010 T2,2010 T2,trimestrielle,2010,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2010 T3,106.4,106.4,2010 T3,2010 T3,trimestrielle,2010,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2010 T4,128.2,128.2,2010 T4,2010 T4,trimestrielle,2010,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2011 T1,162.7,162.7,2011 T1,2011 T1,trimestrielle,2011,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2011 T2,121.9,121.9,2011 T2,2011 T2,trimestrielle,2011,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),2.0,,
