indicateur,statut_juridique,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,tranche_d_age,type,rubrique,localit
Nombre et coût de projets financés par type de fonds,,FCFA,2023,181478000,181478000,2023,2023,annuelle,2023,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,Nombre,2003,1095,1095,2003,2003,annuelle,2003,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2004,1244,1244,2004,2004,annuelle,2004,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2005,1202,1202,2005,2005,annuelle,2005,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2006,1623,1623,2006,2006,annuelle,2006,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2007,1645,1645,2007,2007,annuelle,2007,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2008,822,822,2008,2008,annuelle,2008,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2009,1330,1330,2009,2009,annuelle,2009,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2010,1244,1244,2010,2010,annuelle,2010,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2011,1034,1034,2011,2011,annuelle,2011,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2012,1499,1499,2012,2012,annuelle,2012,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2013,1719,1719,2013,2013,annuelle,2013,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2014,2257,2257,2014,2014,annuelle,2014,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2015,2055,2055,2015,2015,annuelle,2015,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2016,2119,2119,2016,2016,annuelle,2016,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2017,2133,2133,2017,2017,annuelle,2017,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2018,2132,2132,2018,2018,annuelle,2018,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2019,2225,2225,2019,2019,annuelle,2019,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2020,8032,8032,2020,2020,annuelle,2020,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2021,1765,1765,2021,2021,annuelle,2021,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2022,2290,2290,2022,2022,annuelle,2022,Nombre de cout de projets finances.csv,entreprises,,FASI,Nombre,
Nombre et coût de projets financés par type de fonds,,FCFA,2003,509900000,509900000,2003,2003,annuelle,2003,Nombre de cout de projets finances.csv,entreprises,,FASI,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2004,570200000,570200000,2004,2004,annuelle,2004,Nombre de cout de projets finances.csv,entreprises,,FASI,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2005,578000000,578000000,2005,2005,annuelle,2005,Nombre de cout de projets finances.csv,entreprises,,FASI,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2006,755700000,755700000,2006,2006,annuelle,2006,Nombre de cout de projets finances.csv,entreprises,,FASI,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2007,812400000,812400000,2007,2007,annuelle,2007,Nombre de cout de projets finances.csv,entreprises,,FASI,Coût,
