indicateur,rubrique,r_gion,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Centre-Est,%,2018,0.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Centre-Nord,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Centre-Ouest,%,2018,1.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Centre-Sud,%,2018,0.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Est,%,2018,2.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Hauts Bassins,%,2018,0.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Nord,%,2018,0.7,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Plateau-Central,%,2018,0.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Sahel,%,2018,0.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Sud-Ouest,%,2018,1.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Burkina Faso,%,2018,0.6,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Boucle du Mouhoun,%,2018,30.7,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Cascades,%,2018,26.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Centre,%,2018,2.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Centre-Est,%,2018,50.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Centre-Nord,%,2018,50.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Centre-Ouest,%,2018,45.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Centre-Sud,%,2018,65.8,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Est,%,2018,67.6,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Hauts Bassins,%,2018,14.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Nord,%,2018,51.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Plateau-Central,%,2018,43.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Sahel,%,2018,46.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Sud-Ouest,%,2018,57.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Dans la nature,Burkina Faso,%,2018,36.7,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Boucle du Mouhoun,%,2018,0.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Cascades,%,2018,1.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Centre,%,2018,0.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Centre-Est,%,2018,0.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Centre-Nord,%,2018,0.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Centre-Ouest,%,2018,1.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Centre-Sud,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Est,%,2018,0.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Hauts Bassins,%,2018,4.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Nord,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Plateau-Central,%,2018,5.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Autre,Sahel,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
