date,region,province,marche,categorie,produit,unit,statut_prix,type_prix,devise,prix_local,prix_usd,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
aout 1992,SAHEL,SÉNO,Dori,cereales et tubercules,mil,KG,observe,detail,XOF,100.0,0.24,aout 1992,aout 1992,mensuelle,1992,3,8,wfp_food_prices_bfa.csv,prix
septembre 1992,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,73.5,0.17,septembre 1992,septembre 1992,mensuelle,1992,3,9,wfp_food_prices_bfa.csv,prix
septembre 1992,CASCADES,COMOÉ,Banfora,cereales et tubercules,mil,KG,observe,detail,XOF,87.0,0.21,septembre 1992,septembre 1992,mensuelle,1992,3,9,wfp_food_prices_bfa.csv,prix
septembre 1992,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,61.75,0.15,septembre 1992,septembre 1992,mensuelle,1992,3,9,wfp_food_prices_bfa.csv,prix
septembre 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,80.5,0.19,septembre 1992,septembre 1992,mensuelle,1992,3,9,wfp_food_prices_bfa.csv,prix
septembre 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,76.75,0.18,septembre 1992,septembre 1992,mensuelle,1992,3,9,wfp_food_prices_bfa.csv,prix
septembre 1992,SUD-OUEST,BOUGOURIBA,Diebougou,cereales et tubercules,mil,KG,observe,detail,XOF,88.0,0.21,septembre 1992,septembre 1992,mensuelle,1992,3,9,wfp_food_prices_bfa.csv,prix
octobre 1992,CASCADES,COMOÉ,Banfora,cereales et tubercules,mil,KG,observe,detail,XOF,84.0,0.2,octobre 1992,octobre 1992,mensuelle,1992,4,10,wfp_food_prices_bfa.csv,prix
octobre 1992,CENTRE-EST,BOULGOU,Tenkodogo,cereales et tubercules,mil,KG,observe,detail,XOF,66.5,0.16,octobre 1992,octobre 1992,mensuelle,1992,4,10,wfp_food_prices_bfa.csv,prix
octobre 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,80.0,0.19,octobre 1992,octobre 1992,mensuelle,1992,4,10,wfp_food_prices_bfa.csv,prix
octobre 1992,EST,GOURMA,Fada N'Gourma,cereales et tubercules,mil,KG,observe,detail,XOF,70.0,0.17,octobre 1992,octobre 1992,mensuelle,1992,4,10,wfp_food_prices_bfa.csv,prix
octobre 1992,SAHEL,OUDALAN,Gorom Gorom,cereales et tubercules,mil,KG,observe,detail,XOF,73.33,0.17,octobre 1992,octobre 1992,mensuelle,1992,4,10,wfp_food_prices_bfa.csv,prix
octobre 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,91.0,0.22,octobre 1992,octobre 1992,mensuelle,1992,4,10,wfp_food_prices_bfa.csv,prix
octobre 1992,SUD-OUEST,BOUGOURIBA,Diebougou,cereales et tubercules,mil,KG,observe,detail,XOF,80.5,0.19,octobre 1992,octobre 1992,mensuelle,1992,4,10,wfp_food_prices_bfa.csv,prix
novembre 1992,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,47.0,0.11,novembre 1992,novembre 1992,mensuelle,1992,4,11,wfp_food_prices_bfa.csv,prix
novembre 1992,CENTRE,KADIOGO,Ouagadougo (Sankaryare),cereales et tubercules,mil,KG,observe,detail,XOF,90.0,0.21,novembre 1992,novembre 1992,mensuelle,1992,4,11,wfp_food_prices_bfa.csv,prix
