indicateur,age,sexe,annee,date_source,date,periode_normalisee,granularite_temporelle,valeur,region,projection_type,source_fichier
population_projettee,2,femme,2030,2030,2030,2030,annuelle,20106.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2030,2030,2030,2030,annuelle,41419.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2031,2031,2031,2031,annuelle,21396.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2031,2031,2031,2031,annuelle,20185.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2031,2031,2031,2031,annuelle,41581.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2032,2032,2032,2032,annuelle,21466.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2032,2032,2032,2032,annuelle,20251.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2032,2032,2032,2032,annuelle,41717.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2033,2033,2033,2033,annuelle,21763.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2033,2033,2033,2033,annuelle,20535.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2033,2033,2033,2033,annuelle,42298.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2034,2034,2034,2034,annuelle,22075.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2034,2034,2034,2034,annuelle,20831.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2034,2034,2034,2034,annuelle,42906.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2035,2035,2035,2035,annuelle,22392.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2035,2035,2035,2035,annuelle,21129.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2035,2035,2035,2035,annuelle,43521.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2020,2020,2020,2020,annuelle,20077.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2020,2020,2020,2020,annuelle,19183.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2020,2020,2020,2020,annuelle,39260.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2021,2021,2021,2021,annuelle,20548.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2021,2021,2021,2021,annuelle,19505.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2021,2021,2021,2021,annuelle,40053.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2022,2022,2022,2022,annuelle,20886.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2022,2022,2022,2022,annuelle,19723.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2022,2022,2022,2022,annuelle,40609.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2023,2023,2023,2023,annuelle,20756.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2023,2023,2023,2023,annuelle,19548.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2023,2023,2023,2023,annuelle,40304.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2024,2024,2024,2024,annuelle,20832.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2024,2024,2024,2024,annuelle,19601.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2024,2024,2024,2024,annuelle,40433.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2025,2025,2025,2025,annuelle,20971.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2025,2025,2025,2025,annuelle,19729.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2025,2025,2025,2025,annuelle,40700.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2026,2026,2026,2026,annuelle,20825.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2026,2026,2026,2026,annuelle,19594.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2026,2026,2026,2026,annuelle,40419.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2027,2027,2027,2027,annuelle,20656.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2027,2027,2027,2027,annuelle,19436.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2027,2027,2027,2027,annuelle,40092.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2028,2028,2028,2028,annuelle,20751.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2028,2028,2028,2028,annuelle,19535.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2028,2028,2028,2028,annuelle,40286.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2029,2029,2029,2029,annuelle,20897.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2029,2029,2029,2029,annuelle,19672.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2029,2029,2029,2029,annuelle,40569.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2030,2030,2030,2030,annuelle,21013.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2030,2030,2030,2030,annuelle,19779.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2030,2030,2030,2030,annuelle,40792.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2031,2031,2031,2031,annuelle,21114.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2031,2031,2031,2031,annuelle,19873.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2031,2031,2031,2031,annuelle,40987.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2032,2032,2032,2032,annuelle,21200.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2032,2032,2032,2032,annuelle,19953.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2032,2032,2032,2032,annuelle,41153.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2033,2033,2033,2033,annuelle,21274.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,femme,2033,2033,2033,2033,annuelle,20023.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,ensemble,2033,2033,2033,2033,annuelle,41297.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,3,homme,2034,2034,2034,2034,annuelle,21573.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
