indicateur,tranche_d_age,sexe,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Evolution de la population par groupes d'âge et par sexe,30 - 34,Homme,Nombre,1996,251092.592053043,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Homme,Nombre,2006,363408.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Homme,Nombre,2019,613894.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Femme,Nombre,1960,160241.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Femme,Nombre,1975,185794.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Femme,Nombre,1985,227811.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Femme,Nombre,1991,275927.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Femme,Nombre,1996,323951.664923017,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Femme,Nombre,2006,431412.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Femme,Nombre,2019,708364.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Ensemble,Nombre,1960,281953.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Ensemble,Nombre,1975,336576.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Ensemble,Nombre,1985,398600.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Ensemble,Nombre,1991,458151.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Ensemble,Nombre,1996,575044.25697606,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Ensemble,Nombre,2006,794820.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,30 - 34,Ensemble,Nombre,2019,1322258.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Homme,Nombre,1960,134963.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Homme,Nombre,1975,136664.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Homme,Nombre,1985,162809.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Homme,Nombre,1991,165398.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Homme,Nombre,1996,206415.906631258,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Homme,Nombre,2006,298236.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Homme,Nombre,2019,509169.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Femme,Nombre,1960,161223.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Femme,Nombre,1975,150216.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,35 - 39,Femme,Nombre,1985,206337.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
