annee,theme,indicateur,rubrique,region,unite,valeur
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Hauts-Bassins,%,69.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Hauts-Bassins,%,64.6
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Hauts-Bassins,%,34.4
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Hauts-Bassins,%,34.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Nord,%,57.0
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Nord,%,57.4
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Nord,%,70.4
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Nord,%,70.9
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Plateau Central,%,24.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Plateau Central,%,28.3
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Plateau Central,%,45.2
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Plateau Central,%,34.2
