"indicateur","region","infrastructures","Unit","Date","Value"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre de Santé et de Promotion Sociale","Nombre","2022","114"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre de Santé et de Promotion Sociale","Nombre","2023","113"
"Infrastructures sanitaires par région à partir de 2017","Centre","Dispensaire","Nombre","2017","7"
"Infrastructures sanitaires par région à partir de 2017","Centre","Dispensaire","Nombre","2018","20"
"Infrastructures sanitaires par région à partir de 2017","Centre","Dispensaire","Nombre","2019","8"
"Infrastructures sanitaires par région à partir de 2017","Centre","Dispensaire","Nombre","2020","7"
"Infrastructures sanitaires par région à partir de 2017","Centre","Dispensaire","Nombre","2021","7"
"Infrastructures sanitaires par région à partir de 2017","Centre","Dispensaire","Nombre","2022","2"
"Infrastructures sanitaires par région à partir de 2017","Centre","Dispensaire","Nombre","2023","2"
"Infrastructures sanitaires par région à partir de 2017","Centre","Maternités isolées","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Maternités isolées","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Maternités isolées","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Maternités isolées","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Maternités isolées","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Maternités isolées","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Maternités isolées","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Formation Sanitaire Privée","Nombre","2017","300"
"Infrastructures sanitaires par région à partir de 2017","Centre","Formation Sanitaire Privée","Nombre","2020","336"
"Infrastructures sanitaires par région à partir de 2017","Centre","Formation Sanitaire Privée","Nombre","2021","401"
"Infrastructures sanitaires par région à partir de 2017","Centre","Formation Sanitaire Privée","Nombre","2022","487"
"Infrastructures sanitaires par région à partir de 2017","Centre","0fficines et Dépôts  privés","Nombre","2017","177"
"Infrastructures sanitaires par région à partir de 2017","Centre","0fficines et Dépôts  privés","Nombre","2018","33"
