"indicateur","localités","Unit","Date","Value"
"Densité par région et province des quatres derniers recensements","Kenedougou","Habitants/km2","2006","35.1019781299914"
"Densité par région et province des quatres derniers recensements","Kenedougou","Habitants/km2","2019","47.6"
"Densité par région et province des quatres derniers recensements","Tuy","Habitants/km2","1985","19.2719687555477"
"Densité par région et province des quatres derniers recensements","Tuy","Habitants/km2","1996","28.5322208414699"
"Densité par région et province des quatres derniers recensements","Tuy","Habitants/km2","2006","40.5570743830996"
"Densité par région et province des quatres derniers recensements","Tuy","Habitants/km2","2019","58.6"
"Densité par région et province des quatres derniers recensements","Région du Nord","Habitants/km2","1985","46.9416630656213"
"Densité par région et province des quatres derniers recensements","Région du Nord","Habitants/km2","1996","58.980183961973"
"Densité par région et province des quatres derniers recensements","Région du Nord","Habitants/km2","2006","73.2018025804062"
"Densité par région et province des quatres derniers recensements","Région du Nord","Habitants/km2","2019","104"
"Densité par région et province des quatres derniers recensements","Loroum","Habitants/km2","1985","23.0758293838863"
"Densité par région et province des quatres derniers recensements","Loroum","Habitants/km2","1996","31.0395873989406"
"Densité par région et province des quatres derniers recensements","Loroum","Habitants/km2","2006","39.8252021187622"
"Densité par région et province des quatres derniers recensements","Loroum","Habitants/km2","2019","53.8"
"Densité par région et province des quatres derniers recensements","Passore","Habitants/km2","1985","57.8970512157268"
"Densité par région et province des quatres derniers recensements","Passore","Habitants/km2","1996","70.3217796171754"
"Densité par région et province des quatres derniers recensements","Passore","Habitants/km2","2006","83.6063114330057"
"Densité par région et province des quatres derniers recensements","Passore","Habitants/km2","2019","115.1"
"Densité par région et province des quatres derniers recensements","Yatenga","Habitants/km2","1985","50.6181479891227"
"Densité par région et province des quatres derniers recensements","Yatenga","Habitants/km2","1996","63.6271647345069"
"Densité par région et province des quatres derniers recensements","Yatenga","Habitants/km2","2006","79.1704594246458"
"Densité par région et province des quatres derniers recensements","Yatenga","Habitants/km2","2019","122"
"Densité par région et province des quatres derniers recensements","Zondoma","Habitants/km2","1985","56.927799886299"
"Densité par région et province des quatres derniers recensements","Zondoma","Habitants/km2","1996","72.5719158612848"
"Densité par région et province des quatres derniers recensements","Zondoma","Habitants/km2","2006","94.6884593519045"
"Densité par région et province des quatres derniers recensements","Zondoma","Habitants/km2","2019","121.2"
"Densité par région et province des quatres derniers recensements","Région du Plateau Central","Habitants/km2","1985","51.3277940315974"
"Densité par région et province des quatres derniers recensements","Région du Plateau Central","Habitants/km2","1996","66.9577530719719"
"Densité par région et province des quatres derniers recensements","Région du Plateau Central","Habitants/km2","2006","81.4946752486834"
"Densité par région et province des quatres derniers recensements","Région du Plateau Central","Habitants/km2","2019","114"
"Densité par région et province des quatres derniers recensements","Ganzourgou","Habitants/km2","1985","46.817899018904"
"Densité par région et province des quatres derniers recensements","Ganzourgou","Habitants/km2","1996","61.4790619765494"
"Densité par région et province des quatres derniers recensements","Ganzourgou","Habitants/km2","2006","76.4249820531228"
"Densité par région et province des quatres derniers recensements","Ganzourgou","Habitants/km2","2019","115.8"
"Densité par région et province des quatres derniers recensements","Kourweogo","Habitants/km2","1985","59.9785894206549"
"Densité par région et province des quatres derniers recensements","Kourweogo","Habitants/km2","1996","74.3047858942065"
"Densité par région et province des quatres derniers recensements","Kourweogo","Habitants/km2","2006","87.0384130982368"
"Densité par région et province des quatres derniers recensements","Kourweogo","Habitants/km2","2019","113.6"
"Densité par région et province des quatres derniers recensements","Oubritenga","Habitants/km2","1985","53.167026637869"
"Densité par région et province des quatres derniers recensements","Oubritenga","Habitants/km2","1996","70.9996400287977"
"Densité par région et province des quatres derniers recensements","Oubritenga","Habitants/km2","2006","85.9521238300936"
"Densité par région et province des quatres derniers recensements","Oubritenga","Habitants/km2","2019","110.7"
"Densité par région et province des quatres derniers recensements","Région du Sahel","Habitants/km2","1985","14.7599264705882"
"Densité par région et province des quatres derniers recensements","Région du Sahel","Habitants/km2","1996","20.0320135746606"
"Densité par région et province des quatres derniers recensements","Région du Sahel","Habitants/km2","2006","27.3880656108597"
"Densité par région et province des quatres derniers recensements","Région du Sahel","Habitants/km2","2019","31"
"Densité par région et province des quatres derniers recensements","Oudalan","Habitants/km2","1985","10.8008543531326"
"Densité par région et province des quatres derniers recensements","Oudalan","Habitants/km2","1996","13.9503661513426"
"Densité par région et province des quatres derniers recensements","Oudalan","Habitants/km2","2006","19.9312449145647"
"Densité par région et province des quatres derniers recensements","Oudalan","Habitants/km2","2019","15.7"
"Densité par région et province des quatres derniers recensements","Seno","Habitants/km2","1985","21.9602388581416"
"Densité par région et province des quatres derniers recensements","Seno","Habitants/km2","1996","29.3853772210894"
"Densité par région et province des quatres derniers recensements","Seno","Habitants/km2","2006","38.5946693853772"
"Densité par région et province des quatres derniers recensements","Seno","Habitants/km2","2019","57.8"
