"indicateur","région","produits","Unit","Date","Value"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2025M5","547.722557505165"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2025M6","499.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2025M7","499.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2025M8","499.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2025M9","499.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M1","925"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M2","800"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M3","800"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M4","925"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M5","822.222"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M6","822.222"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M7","1000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M8","850"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M9","966.085"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M11","799.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2024M12","800"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2025M1","799.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2025M2","999.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2025M3","999.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2025M4","999.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2025M5","999.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2025M6","999.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2025M7","999.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2025M8","999.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sucre importé en morceau blanc/blond","FCFA/kg","2025M9","999.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M1","20000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M2","22000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M3","22000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M4","22000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M5","25000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M6","25000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M7","26000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M8","31000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M9","31000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M11","22999.9999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2024M12","23000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2025M1","23999.9999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2025M2","28000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2025M3","25999.9999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2025M4","25999.9999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2025M5","25999.9999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Sorgho blanc1","FCFA/Sac de 100 kg","2025M6","25999.9999999999"
