date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
1993-10-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,78.5,0.19
1993-10-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,56.25,0.13
1993-10-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,50.75,0.12
1993-10-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,75,0.18
1993-10-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,68.33,0.16
1993-10-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,62.5,0.15
1993-11-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,51.75,0.12
1993-11-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,77,0.18
1993-11-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,54.25,0.13
1993-11-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,58.25,0.14
1993-11-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,68.75,0.16
1993-11-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,53,0.13
1993-11-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,65,0.15
1993-11-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,67,0.16
1993-11-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,63,0.15
